Temperature: loadcase=3,period=1
   1 -1559942148046028900000000000000000000.000
   2 -1559939612744828500000000000000000000.000
   3 -1559939295832178400000000000000000000.000
   4 -1559944841803554400000000000000000000.000
   5 -165925203522829630000000000000000000.000
   6 -165927134709290920000000000000000000.000
   7 -165927065384648720000000000000000000.000
   8 -165924698443293600000000000000000000.000
   9 77220476310311465000000000000000000.000
  10 77221323061298336000000000000000000.000
  11 77221298302497550000000000000000000.000
  12 77220213867023137000000000000000000.000
Temperature: loadcase=3,period=2
   1 169692997826398610000000000000000000.000
   2 169692047088448440000000000000000000.000
   3 169691769789879640000000000000000000.000
   4 169693869336186270000000000000000000.000
   5 -327618830885772400000000000000000000.000
   6 -327617860340781600000000000000000000.000
   7 -327617682077415950000000000000000000.000
   8 -327619028956178690000000000000000000.000
   9 141252286065287490000000000000000000.000
  10 141251642336467060000000000000000000.000
  11 141251592818865490000000000000000000.000
  12 141252355389929690000000000000000000.000
Temperature: loadcase=3,period=3
   1 -90703836967878870000000000000000000.000
   2 -90703351695383470000000000000000000.000
   3 -90703282370741270000000000000000000.000
   4 -90704064748846098000000000000000000.000
   5 -11525076926762294000000000000000000.000
   6 -11525303469789483000000000000000000.000
   7 -11525319563009994000000000000000000.000
   8 -11524826862874358000000000000000000.000
   9 -27490387282913076000000000000000000.000
  10 -27490300627110326000000000000000000.000
  11 -27490283295949776000000000000000000.000
  12 -27490528408077554000000000000000000.000
