Temperature: loadcase=2,period=1
   1           20.952
   2           20.952
   3           20.952
   4           20.952
   5           11.437
   6           11.437
   7           11.437
   8           11.437
   9           14.868
  10           14.868
  11           14.868
  12           14.868
Temperature: loadcase=2,period=2
   1           20.354
   2           20.354
   3           20.354
   4           20.354
   5           14.418
   6           14.418
   7           14.418
   8           14.418
   9           17.314
  10           17.314
  11           17.314
  12           17.314
