Temperature: loadcase=1,period=1
   1           19.387
   2           19.387
   3           19.387
   4           19.387
   5           19.387
   6           19.387
   7           19.387
   8           19.387
   9           14.282
  10           14.281
  11           14.283
  12           14.282
  13           14.284
  14           14.280
  15           14.283
  16           14.280
Temperature: loadcase=1,period=2
   1           18.504
   2           18.504
   3           18.504
   4           18.504
   5           18.504
   6           18.504
   7           18.504
   8           18.504
   9           14.598
  10           14.564
  11           14.598
  12           14.565
  13           14.559
  14           14.604
  15           14.559
  16           14.603
Temperature: loadcase=1,period=3
   1           17.584
   2           17.583
   3           17.584
   4           17.583
   5           17.583
   6           17.584
   7           17.583
   8           17.584
   9           12.610
  10           12.647
  11           12.609
  12           12.647
  13           12.649
  14           12.607
  15           12.649
  16           12.607
Temperature: loadcase=1,period=4
   1           16.803
   2           16.803
   3           16.803
   4           16.803
   5           16.803
   6           16.803
   7           16.803
   8           16.803
   9           12.873
  10           12.832
  11           12.874
  12           12.832
  13           12.828
  14           12.878
  15           12.827
  16           12.878
Temperature: loadcase=1,period=5
   1           15.992
   2           15.992
   3           15.992
   4           15.992
   5           15.992
   6           15.992
   7           15.992
   8           15.992
   9           11.151
  10           11.179
  11           11.152
  12           11.179
  13           11.180
  14           11.152
  15           11.178
  16           11.151
Temperature: loadcase=1,period=6
   1           15.301
   2           15.301
   3           15.301
   4           15.301
   5           15.301
   6           15.301
   7           15.301
   8           15.301
   9           11.344
  10           11.315
  11           11.344
  12           11.316
  13           11.311
  14           11.349
  15           11.310
  16           11.349
Temperature: loadcase=1,period=7
   1           14.586
   2           14.586
   3           14.586
   4           14.586
   5           14.586
   6           14.586
   7           14.586
   8           14.586
   9            9.858
  10            9.885
  11            9.857
  12            9.885
  13            9.887
  14            9.855
  15            9.886
  16            9.856
Temperature: loadcase=1,period=8
   1           13.976
   2           13.976
   3           13.976
   4           13.976
   5           13.976
   6           13.976
   7           13.976
   8           13.976
   9           10.007
  10            9.969
  11           10.007
  12            9.969
  13            9.957
  14           10.019
  15            9.956
  16           10.019
Temperature: loadcase=1,period=9
   1           13.346
   2           13.346
   3           13.346
   4           13.346
   5           13.346
   6           13.346
   7           13.346
   8           13.346
   9            8.716
  10            8.736
  11            8.717
  12            8.737
  13            8.747
  14            8.706
  15            8.747
  16            8.706
Temperature: loadcase=1,period=10
   1           12.806
   2           12.806
   3           12.806
   4           12.806
   5           12.806
   6           12.806
   7           12.806
   8           12.806
   9            8.813
  10            8.797
  11            8.813
  12            8.797
  13            8.779
  14            8.831
  15            8.779
  16            8.831
Temperature: loadcase=1,period=11
   1           12.251
   2           12.250
   3           12.251
   4           12.250
   5           12.251
   6           12.251
   7           12.251
   8           12.251
   9            7.715
  10            7.713
  11            7.715
  12            7.713
  13            7.726
  14            7.703
  15            7.725
  16            7.703
Temperature: loadcase=1,period=12
   1           11.773
   2           11.773
   3           11.773
   4           11.773
   5           11.773
   6           11.773
   7           11.773
   8           11.773
   9            7.767
  10            7.759
  11            7.766
  12            7.760
  13            7.748
  14            7.778
  15            7.748
  16            7.777
Temperature: loadcase=1,period=13
   1           11.284
   2           11.284
   3           11.284
   4           11.284
   5           11.284
   6           11.284
   7           11.284
   8           11.284
   9            6.816
  10            6.821
  11            6.817
  12            6.821
  13            6.821
  14            6.817
  15            6.821
